Customer_ID,RFM_Segment,Action,Monetary,Predicted_CLV,Churn_Probability,Purchase_Timing_Status,Recency
CUS001709,About to Sleep,Contact Now: High-Value Due,201500.0,171915.48969310347,0.9994683129513952,Due Soon,218
CUS002760,About to Sleep,Contact Now: High-Value Due,185000.0,157292.50348318473,0.9994683129513952,Due Soon,491
CUS002238,About to Sleep,Contact Now: High-Value Due,129999.99,139613.71903040155,0.999468315482347,Due Soon,664
CUS002185,Champions,High Priority: Retention,298500.0,315406.31605911016,0.6002042090856691,Not Yet Due,175
CUS000404,Champions,High Priority: Retention,277250.0,292793.17234239716,0.6564758561376853,Not Yet Due,140
CUS000040,Champions,High Priority: Retention,434605.0,405106.9307957441,0.6024340832663121,Not Yet Due,134
CUS002694,Champions,High Priority: Retention,381990.0,386500.3280258846,0.7233981507749172,Not Yet Due,114
CUS001986,Champions,High Priority: Retention,448524.95,453645.5511197512,0.7275438698893824,Overdue,176
CUS002770,Champions,High Priority: Retention,458750.0,472098.20047193934,0.7364075039433542,Not Yet Due,50
CUS001085,Champions,High Priority: Retention,499250.0,475995.4903691667,0.6729596509300739,Not Yet Due,107
CUS000781,Champions,High Priority: Retention,305600.0,307059.24072155316,0.7431701051469406,Not Yet Due,134
CUS002062,Champions,High Priority: Retention,415236.98,409383.5534082755,0.7473754031495018,Not Yet Due,133
CUS000546,About to Sleep,High Priority: Retention,166200.0,161299.12380629504,0.6311197665516108,Overdue,112
CUS000625,About to Sleep,High Priority: Retention,172700.0,181490.14513421975,0.6469676507798554,Not Yet Due,45
CUS001184,About to Sleep,High Priority: Retention,128239.98,127937.18656487684,0.6501636795254894,Not Yet Due,113
CUS000981,Champions,High Priority: Retention,350250.0,328588.18122494215,0.7256477650290695,Not Yet Due,131
CUS000970,Champions,High Priority: Retention,356350.0,346826.5283694292,0.7926792559871387,Overdue,162
CUS000748,Champions,High Priority: Retention,338250.0,323444.03618267115,0.7275077204339166,Not Yet Due,113
CUS001659,About to Sleep,High Priority: Retention,151000.0,144593.04853591902,0.6029924479382766,Not Yet Due,145
CUS002540,Big Spenders,High Priority: Retention,250000.0,281151.7090936397,0.6869058936017245,Not Yet Due,153
CUS002843,About to Sleep,High Priority: Retention,111000.0,120582.68546601874,0.620308500597267,Due Soon,82
CUS000345,About to Sleep,High Priority: Retention,118125.0,111534.90538226117,0.6286512018607929,Not Yet Due,180
CUS001217,Champions,High Priority: Retention,218899.98,263768.1709791895,0.7783656510497803,Overdue,178
CUS002945,Champions,High Priority: Retention,316050.0,352866.19480296946,0.8604690788284612,Not Yet Due,152
CUS000055,Big Spenders,High Priority: Retention,345750.0,337835.523702372,0.7333554879517411,Not Yet Due,180
CUS002015,Champions,High Priority: Retention,413749.99,420594.2253856827,0.8114564723931036,Not Yet Due,173
CUS000248,Big Spenders,High Priority: Retention,327900.0,307327.68633076467,0.7586839709156582,Not Yet Due,112
CUS001997,Champions,High Priority: Retention,448050.0,485922.44851924153,0.911400670833609,Severely Overdue,120
CUS003059,About to Sleep,High Priority: Retention,168250.0,155095.2146017942,0.7892082233763517,Not Yet Due,121
CUS001848,Big Spenders,High Priority: Retention,279000.0,300760.07550797786,0.793295148823507,Not Yet Due,117
CUS002081,About to Sleep,High Priority: Retention,105250.0,117205.68152314356,0.7346258550610456,Due Soon,131
CUS001950,About to Sleep,High Priority: Retention,127700.0,135542.50907269822,0.7348309792853155,Overdue,112
CUS001144,About to Sleep,High Priority: Retention,202500.0,171093.7448784161,0.7350732597324122,Overdue,110
CUS000555,Champions,High Priority: Retention,256050.0,272268.15086954465,0.8832148820569348,Not Yet Due,140
CUS001810,About to Sleep,High Priority: Retention,187699.99,158671.6878392055,0.8382087832865833,Not Yet Due,127
CUS001048,Big Spenders,High Priority: Retention,319000.0,325349.06852787035,0.8600025177341867,Overdue,131
CUS001734,About to Sleep,High Priority: Retention,186400.0,160548.10448267224,0.8137052544713655,Overdue,106
CUS000688,About to Sleep,High Priority: Retention,152850.0,147995.06751059653,0.890493853677507,Not Yet Due,125
CUS002749,About to Sleep,High Priority: Retention,127250.0,132190.07240748862,0.8996937085368069,Not Yet Due,68
CUS001884,About to Sleep,High Priority: Retention,119000.0,125898.0433955194,0.8352882773103771,Overdue,120
CUS000086,Champions,High Priority: Retention,415660.0,463820.5606945692,0.9991822880167895,Severely Overdue,358
CUS000383,Champions,High Priority: Retention,476250.0,469630.21175244724,0.9993028421589676,Severely Overdue,337
CUS002113,Champions,High Priority: Retention,492000.0,449675.9274979487,0.9992316786972112,Severely Overdue,222
CUS000943,Champions,High Priority: Retention,478750.0,476798.781355599,0.9994104854532507,Severely Overdue,450
CUS001977,Champions,High Priority: Retention,488400.0,473887.1097961972,0.9994104854532507,Severely Overdue,372
CUS001793,Champions,High Priority: Retention,448249.89,493699.66298255534,0.9996044350586212,Overdue,222
CUS003030,Champions,High Priority: Retention,463375.0,474295.8686388489,0.999593458705677,Severely Overdue,488
CUS002736,Champions,High Priority: Retention,422322.97,470472.8286695772,0.9995902911203053,Severely Overdue,393
CUS001008,Champions,High Priority: Retention,453000.0,469500.62568282406,0.9996768890140636,Severely Overdue,365
CUS000146,Champions,High Priority: Retention,424043.0,459898.1480354687,0.9996287617419678,Severely Overdue,318
CUS002000,Champions,High Priority: Retention,428000.0,420578.5737589866,0.9994983500375137,Severely Overdue,554
CUS002032,Champions,High Priority: Retention,439950.0,435077.9867167844,0.9996287617419678,Severely Overdue,570
CUS001415,Champions,High Priority: Retention,434250.0,463644.95391740184,0.9998162508509131,Overdue,204
CUS002548,Champions,High Priority: Retention,423400.0,442506.5426350396,0.999797565674759,Severely Overdue,425
CUS000326,Champions,High Priority: Retention,391249.99,408701.34900330874,0.9996546626045392,Severely Overdue,397
CUS001576,Champions,High Priority: Retention,378300.0,406044.0615492634,0.9996479057188876,Severely Overdue,412
CUS002510,Champions,High Priority: Retention,292250.0,315100.9805598913,0.9992285794958612,Severely Overdue,383
CUS002381,Champions,High Priority: Retention,376600.0,395497.1015925681,0.9996958472222772,Severely Overdue,264
CUS000972,Champions,High Priority: Retention,384499.88,374383.1930630759,0.9996996923749859,Not Yet Due,186
CUS000534,Champions,High Priority: Retention,375800.0,355420.9981214928,0.999604331267864,Not Yet Due,215
CUS000277,Champions,High Priority: Retention,335100.0,345984.8287756674,0.9995955890524696,Severely Overdue,420
CUS001883,Champions,High Priority: Retention,329750.0,328838.90885561187,0.9995136433377936,Severely Overdue,471
CUS002682,Champions,High Priority: Retention,385349.97,362944.5926458335,0.9996996923749859,Severely Overdue,326
CUS001479,Champions,High Priority: Retention,339250.0,336538.71466563555,0.999604331267864,Severely Overdue,466
CUS000036,Champions,High Priority: Retention,340000.0,331437.34754545864,0.9996044350586212,Overdue,229
CUS001125,Champions,High Priority: Retention,334749.96,328680.6710078451,0.9995955890524696,Severely Overdue,434
CUS002856,Champions,High Priority: Retention,292500.0,313239.7089023535,0.999524280955463,Not Yet Due,204
CUS001808,Champions,High Priority: Retention,359000.0,337226.22600586794,0.9996737264305388,Severely Overdue,502
CUS000786,Champions,High Priority: Retention,328099.0,333569.7760907858,0.9996996923749859,Severely Overdue,523
CUS002315,Champions,High Priority: Retention,313300.0,311866.865222696,0.999604331267864,Not Yet Due,196
CUS002353,Champions,High Priority: Retention,232350.0,266851.1666451986,0.9994720272231465,Severely Overdue,299
CUS000729,Champions,High Priority: Retention,248499.99,274598.5615571087,0.9996044350586212,Severely Overdue,503
CUS002825,Champions,High Priority: Retention,230000.0,255898.51463063245,0.999524280955463,Severely Overdue,556
CUS001175,Champions,High Priority: Retention,238399.0,274909.8787839755,0.9996996923749859,Severely Overdue,442
CUS002461,About to Sleep,High Priority: Retention,209610.0,179373.70023960684,0.9024831072915852,Overdue,165
CUS003020,Big Spenders,High Priority: Retention,380000.0,422467.4692997954,0.9922692759297213,New/One-time,131
CUS001139,Champions,High Priority: Retention,330499.94,425705.4907438264,0.999135579315879,Severely Overdue,357
CUS001717,Loyal Customers,High Priority: Retention,436250.0,452088.9439370637,0.9992910479171897,Severely Overdue,973
CUS002188,Loyal Customers,High Priority: Retention,481750.0,445777.48095069936,0.9993935419859326,Severely Overdue,721
CUS002022,Champions,High Priority: Retention,444523.99,434965.0178574124,0.9993624969646856,Severely Overdue,505
CUS002679,Loyal Customers,High Priority: Retention,431250.0,420614.9060732919,0.9992910479171897,Severely Overdue,993
CUS002111,Loyal Customers,High Priority: Retention,446450.0,446784.9460546506,0.9994506113393891,Severely Overdue,701
CUS003063,Champions,High Priority: Retention,401472.22,421669.7674953634,0.9993230787124221,Not Yet Due,295
CUS001004,Champions,High Priority: Retention,426000.0,430059.9496494946,0.9993696810939595,Severely Overdue,476
CUS002459,Loyal Customers,High Priority: Retention,439500.0,460321.59048504784,0.9995483058706636,Severely Overdue,986
CUS001549,Champions,High Priority: Retention,394999.8,424262.4963615547,0.9993624969646856,Not Yet Due,211
